Start Order,Run Order,Packing,Gap,Flip,Sort,Problem Set
464,278,bottom lower,yes,none,increasing length,3
276,279,bottom lower,no,height,decreasing length,5
4,280,bottom left,no,height,increasing height,3
373,281,bottom lower,yes,height,decreasing height,2
375,282,bottom lower,yes,height,decreasing height,4
87,283,bottom left,no,none,increasing height,6
358,284,bottom lower,no,none,decreasing length,7
221,285,bottom left,yes,none,increasing length,0
430,286,bottom lower,yes,length,increasing length,9
23,287,bottom left,no,height,increasing length,2
368,288,bottom lower,yes,height,increasing height,7
161,289,bottom left,yes,length,increasing height,0
359,290,bottom lower,no,none,decreasing length,8
53,291,bottom left,no,length,decreasing height,2
78,292,bottom left,no,length,decreasing length,7
347,293,bottom lower,no,none,increasing length,6
72,294,bottom left,no,length,decreasing length,1
2,295,bottom left,no,height,increasing height,1
301,296,bottom lower,no,length,increasing length,0
43,297,bottom left,no,length,increasing height,2
318,298,bottom lower,no,length,decreasing length,7
441,299,bottom lower,yes,none,increasing height,0
97,300,bottom left,no,none,decreasing height,6
478,301,bottom lower,yes,none,decreasing length,7
144,302,bottom left,yes,height,increasing length,3
66,303,bottom left,no,length,increasing length,5
367,304,bottom lower,yes,height,increasing height,6
24,305,bottom left,no,height,increasing length,3
355,306,bottom lower,no,none,decreasing length,4
415,307,bottom lower,yes,length,decreasing height,4
162,308,bottom left,yes,length,increasing height,1
438,309,bottom lower,yes,length,decreasing length,7
339,310,bottom lower,no,none,decreasing height,8
253,311,bottom lower,no,height,decreasing height,2
314,312,bottom lower,no,length,decreasing length,3
416,313,bottom lower,yes,length,decreasing height,5
113,314,bottom left,no,none,decreasing length,2
270,315,bottom lower,no,height,increasing length,9
28,316,bottom left,no,height,increasing length,7
454,317,bottom lower,yes,none,decreasing height,3
179,318,bottom left,yes,length,decreasing height,8
104,319,bottom left,no,none,increasing length,3
443,320,bottom lower,yes,none,increasing height,2
83,321,bottom left,no,none,increasing height,2
451,322,bottom lower,yes,none,decreasing height,0
115,323,bottom left,no,none,decreasing length,4
254,324,bottom lower,no,height,decreasing height,3
374,325,bottom lower,yes,height,decreasing height,3
460,326,bottom lower,yes,none,decreasing height,9
55,327,bottom left,no,length,decreasing height,4
409,328,bottom lower,yes,length,increasing height,8
273,329,bottom lower,no,height,decreasing length,2
427,330,bottom lower,yes,length,increasing length,6
27,331,bottom left,no,height,increasing length,6
349,332,bottom lower,no,none,increasing length,8
219,333,bottom left,yes,none,decreasing height,8
63,334,bottom left,no,length,increasing length,2
17,335,bottom left,no,height,decreasing height,6
62,336,bottom left,no,length,increasing length,1
232,337,bottom left,yes,none,decreasing length,1
250,338,bottom lower,no,height,increasing height,9
457,339,bottom lower,yes,none,decreasing height,6
